rd_item_id,rd_group,source_id,chapter,pages,item_extra,reading_notes,undergraduate_only,graduate_only,optional,rd_prologue,rd_epilogue,rd_break_before
2503,BOTTOM_UP_DECARBONIZATION,PIELKE_JAPAN,,,,,0,0,1,0,0,0
2504,BOTTOM_UP_DECARBONIZATION,PIELKE_AUSTRALIA,,,,,0,0,1,0,0,0
2599,BOTTOM_UP_DECARBONIZATION,,,,,"The optional extra reading comprises three articles by Roger Pielke, in which he applies the methods he describes in this chapter to analyze proposed decarbonization policies in the U.K., Japan, and Australia.",0,0,0,0,1,0
2601,TOP_DOWN_DECARBONIZATION,PIELKE,Ch. 4,,,We will continue discussing this chapter and work examples in class of Pielke's calculations.,0,0,0,0,0,0
2602,TOP_DOWN_DECARBONIZATION,PIELKE_UK,,,,,0,0,1,0,0,0
2603,TOP_DOWN_DECARBONIZATION,PIELKE_JAPAN,,,,,0,0,1,0,0,0
2604,TOP_DOWN_DECARBONIZATION,PIELKE_AUSTRALIA,,,,,0,0,1,0,0,0
2699,TOP_DOWN_DECARBONIZATION,,,,,"The optional extra reading comprises three articles by Roger Pielke, in which he applies the methods he describes in this chapter to analyze proposed decarbonization policies in the U.K., Japan, and Australia.",0,0,0,0,1,0
2700,RENEWABLE_ENERGY,,,,,"Pielke has argued that we don't have the technology necessary to abandon fossil fuels. Jacobson and Delucchi disagree and present a proposal here.

* ""A path to sustainable energy"" presents Jacobson and Delucchi's proposal to the general public. ""Low-cost solution to the grid reliabilty problem"" (optional for undergrads) provides up-to-date technical details for implementing this plan in the US.
* ""Evaluation of a proposal"" (optional for undergraduates) is a fierce critique by a group of scientists and engineers. Jacobson _et al._ reply to this critique in ""The United States can keep the grid stable."" This exchange spawned a huge fight in the clean energy research community with accusations of dishonesty on all sides. The news stories ""Fisticuffs"" and ""A bitter scientific debate"" describe this fight.
* As you read Jacobson and Delucchi's proposal and its critics, think about both the technical and political aspects:

    * Are Jacobson and his co-authors persuasive when they argue that we have the technology that we need to quickly transition from fossil fuels to renewable energy?
    * If we do have the technology, what political obstacles would you see to implementing this proposal?


",0,0,0,1,0,0
2701,RENEWABLE_ENERGY,JACOBSON_SCIAM,,,,,0,0,0,0,0,0
2702,RENEWABLE_ENERGY,PORTER_FISTICUFFS,,,,,0,0,0,0,0,0
2703,RENEWABLE_ENERGY,MOONEY_JACOBSON,,,,,0,0,0,0,0,0
2704,RENEWABLE_ENERGY,JACOBSON_PNAS,,,,,0,1,0,0,0,0
2705,RENEWABLE_ENERGY,CLACK_PNAS,,,,,0,1,0,0,0,0
2706,RENEWABLE_ENERGY,JACOBSON_RESPONSE_TO_CLACK,,,,,0,1,0,0,0,0
2800,GEOENGINEERING_SOLAR_RADIATION,,,,,"We will discuss geoengineering as an alternative to rapidly cutting greenhouse gas emissions. For today, we will focus on **solar radiation management**: Techniques for cancelling out the enhanced greenhouse effect by blocking sunlight from reaching the earth.

* As you read Pielke, pay attention to his discussion of the big picture. What does he mean by a **technological fix**, and what does he think about technological fixes for environmental problems?
* What are Daniel Sarewitz's criteria for successful technological fixes?
* In the context of technological fixes, Pielke describes climate change as a ""wicked problem."" This is a phrase with a specific meaning in public policy analysis. It comes from a 1973 paper,^[H.W.J. Rittel and M.M. Weber, ""[Dilemmas in a General Theory of Planning](https://doi.org/10.1007/BF01405730),"" Policy Sciences **4**, 155 (1973).] which defines ""wicked problems"" as possessing ten different properties, all of which make it very difficult, even impossible, to find satisfactory solutions. A few of these properties include: Wicked problems have high stakes, so it is unacceptable to choose a solution that proves ineffective. They are plagued by uncertainty, so no one can tell in advance whether a solution will work well. They invoilve important tradeoffs, so anything that makes a solution attractive to one constituency will make it unattractive to another. They are irreversible, so trial and error is not an effective approach for finding good solutions.

    As you read this chapter, think about how the problem of geoengineering the climate fits the criteria of a wicked problem.
* What does Pielke think about solar radiation management in terms of Sarewitz's criteria?
* Pielke begins this chapter by discussing geoengineering as a ""**Plan B**"" for climate policy. What does he mean by this?
* Where Pielke talks about ""Plan B,"" Nordhaus describes geoengineering as ""**salvage therapy**"" for the planet. How does his account of solar radiation management compare to Pielke's? Where do the two agree and where do they disagree?
* Nordhaus, as an economist, focuses a lot on costs, comparing the costs and the benefits of any policy. How does he asses the costs and benefits of geoengineering?
* The short paper by Hegerl and Solomon presents solar radiation management geoengineering from the perspective of two top climate scientists. As you read their thoughts, which focus almost entirely on the scientific aspects, how do you think of this in comparison to the policy focus in Nordhaus's and Pielke's discussions?

",0,0,0,1,0,0
2801,GEOENGINEERING_SOLAR_RADIATION,PIELKE,Ch. 5,pp. 117--132,,,0,0,0,0,0,0
2802,GEOENGINEERING_SOLAR_RADIATION,NORDHAUS,Ch. 13,"Read the whole chapter, but focus especially on pp. 152--156",,,0,0,0,0,0,0
2803,GEOENGINEERING_SOLAR_RADIATION,HEGERL_RISKS,,,,,0,0,0,0,0,0
2900,GEOENGINEERING_CARBON_CAPTURE,,,,,"For today we will focus on a second class of geoengineering, called ""**air capture**,"" (Pielke calls this ""**carbon remediation**"") meaning reducing the atmospheric concentration of <%COO%> by filtering it out of the atmosphere and storing it permanently somewhere.

* How do Pielke and Dyson feel about the prospect of air-capture geoengineering? (You know about Pielke; Dyson is a very famous physicist who is often discussed as a top prospect for a future Nobel Prize).
* How does Pielke think air-capture fits Sarewitz's criteria for a technological fix?
* At the end, when Pielke discusses the ""**moral hazard**"" argument against geoengineering, what does he mean by ""moral hazard?"" What do you think about the moral hazard argument?
* What are the implications of geoengineering technology for climate policy in general? How does the prospect of geoengineering shape Dyson's, Nordhaus's, and Pielke's support or opposition to more conventional climate policy that focuses on cutting greenhouse gas emissions?
* What do _you_ think about geoengineering and how does the prospect of geoengineering shape your views of climate policy?

",0,0,0,1,0,0
2901,GEOENGINEERING_CARBON_CAPTURE,PIELKE,Ch. 5,pp. 132--142,,,0,0,0,0,0,0
2902,GEOENGINEERING_CARBON_CAPTURE,NORDHAUS,Ch. 14,pp. 165--168,,,0,0,0,0,0,0
2903,GEOENGINEERING_CARBON_CAPTURE,DYSON_QUESTION,,,,,0,0,0,0,0,0
3001,COST_OF_MITIGATION,NORDHAUS,Ch. 14,pp. 157--165,,"Here, we focus on the cost of reducing emissions. You should skim the material from Ch. 14 lightly and focus on reading Ch. 15 carefully.
Remember how, in the reading notes for Oct. 9, I warned you about the potential confusion between ""mitigating factors,"" (the benefits of global warming, such as reduced heating costs for people who live in cold climates and longer growing seasons for farmers, which can offset some of the harms) and ""mitigation,"" which means cutting greenhouse gas emissions. Here, we are talking about the latter.

* Nordhaus distinguishes two kinds of economic analysis of the cost of mitigation: Top-down and bottom-up (pp. 174--76 and Fig. 25). What is the difference? Do you think one is more reliable than the other? Why or why not?
* Nordhaus discusses two aspects of mitigating greenhouse gas emissions: the technical aspects that determine what a perfect policy that is efficiently implemented could do; and the human aspects, which cause policies to be imperfectly designed and inefficently implemented in the real world. Compare the two curves in Fig. 26.

",0,0,0,0,0,0
3002,COST_OF_MITIGATION,NORDHAUS,Ch. 15,,,,0,0,0,0,0,0
3100,DISCOUNTING,,,,,"Time-discounting is one of the most contentious and controversial aspects of the economics and ethics of climate change. Entire books have been written about this, and one class will not do justice to the topic.

* As you read this chapter in Nordhaus, try to follow the distinctions Nordhaus draws between several aspects of discounting:

    * **Pure time preference:** If I offer you a choice of getting a free dinner at a nice restaurant sometime this month or getting the same dinner five years from now, you would almost certainly prefer to get the nice dinner this month. Given the choice of getting something nice now, or in the near future, versus having to wait a long time, most people don't want to wait.
    * **Opportunity cost:** If I offered you the choice of \$100 now versus in five years, as opposed to the fancy meal, something else comes into the picture: If you got the money now, but chose not to spend it right away, you could invest it so that in five years, you would have more than \$100. Spending money today rather than investing it for the future produces an opportunity cost (missing out on the compounding interest), which contributes another piece to the problem of discounting and the value of time.
    * **Fairness and economic growth:** Economic growth has dramatically reduced poverty around the world over the past centuries. The decline of poverty has been especially rapid in the past half-century. If this trend continues, people living a few centuries in the future will have average per-capita incomes much more than 10 times what the average person earns today. Thus, spending money today to reduce the costs of climate change for future generations might be like taking from the poor (today's generation) to benefit the rich (future generations).

* Graduate students should read the two articles in Science (and undergrads are welcome to read them if you're interested). Each is a bit less than two pages and they are very clear. These articles are a nice distillation of the kinds of economic/ethical arguments about what it means to be fair and just that are very common in environmental policy, and especially in climate policy.

    There are no easy answers, and the challenge has led philosopher Stephen Gardiner to call the problem of climate change ""a perfect moral storm.""
* The optional article by the economist, John Quiggin, is a much more technical discussion of the ethical and economic conundrums that arise from reducing the value of life and suffering to a mathematical equation about time. It's very good, but it's purely optional and you should not feel obliged to read it if you are not really excited to nerd out about these things.

",0,0,0,1,0,0
3101,DISCOUNTING,NORDHAUS,Ch. 16,,,,0,0,0,0,0,0
3102,DISCOUNTING,NORDHAUS_ON_STERN,,,,,0,1,0,0,0,0
3103,DISCOUNTING,STERN_ETHICS,,,,,0,1,0,0,0,0
3104,DISCOUNTING,QUIGGIN_DISCOUNTING,,,,,0,0,1,0,0,0
3200,POLICY_GOALS,,,,,"
* In these chapters, Pielke and Nordhaus offer different accounts of the history of international treaties and policies to manage climate change.
* Much of the focus is on the United Nations Framework Convention on Climate Change (UNFCCC), signed in 1992 and ratified by all 193 member states of the United Nations.
* The UNFCCC is legally binding on its signatories, and requires them to "" stabiliz[e] greenhouse gases concentrations in the atmosphere at a level that would avoid dangerous anthropogenic interference with the climate system."" A problem is that the Framework did not define what constituted ""dangerous anthropogenic interference,"" or spell out any specific actions that the signatories would have to take under the treaty.
* In subsequent years, much of the world's scientific and climate policy elites arrived at a rough consensus that raising the average temperature of the earth by more than 2<%DEGREE_CELSIUS%> relative to preindustrial temperatures would constitute dangerous interference. Both Nordhaus and Pielke present critical examinations of this judgment.
* The details of implementing the pledge under UNFCCC (both defining 'dangerous interference"" and deciding on specific actions) was left to subsequent negotiations, and the signatory nations have met every year at ""conferences of parties"" (COPs) to hammer out details. The most important implementation agreement was a treaty signed in Kyoto in 1998, but never ratified by the United States. Both Nordhaus and Pielke discuss the Kyoto treaty and its pros and cons.
* As you read this history and the discussion of the goal of limiting warming to no more than 2<%DEGREE_CELSIUS%> above pre-industrial temperatures, try to become familiar with the history and think critically about the kinds of policies that were pursued and those that were not given serious consideration.

",0,0,0,1,0,0
3201,POLICY_GOALS,NORDHAUS,Ch. 17,,,,0,0,0,0,0,0
3202,POLICY_GOALS,PIELKE,Ch. 6,,,,0,0,0,0,0,0
3300,COSTS_AND_BENEFITS,NORDHAUS,Ch. 18,,,,0,0,0,0,0,0
3400,SOCIAL_COST_OF_CARBON,NORDHAUS,Ch. 19,,,,0,0,0,0,0,0
3500,CARBON_PRICING_INSTRUMENTS,ECONOMICS_OF_REGULATION,,,,,0,0,0,0,0,0
3601,PRAGMATIC_POLICIES,NORDHAUS,Ch. 23,,,,0,0,0,0,0,0
3602,PRAGMATIC_POLICIES,PIELKE,Ch. 9,,,,0,0,0,0,0,0
3700,GLOBAL_WARMING_GRIDLOCK,VICTOR_GRIDLOCK,Ch. 1,,,I have posted Chapter 1 online. The entire book is [available as an e-book](https://catalog.library.vanderbilt.edu/discovery/fulldisplay?docid=cambookslvl10.1017/CBO9780511975714&context=PC&vid=01VAN_INST:vanui&search_scope=MyInst_and_CI&tab=Everything&lang=en) online through the Vanderbilt Library.,0,0,0,0,0,0
3800,BEYOND_GRIDLOCK,BEYOND_POLITICS,Ch. 1,,,,0,0,0,0,0,0
3901,OBSTACLES_PERSPECTIVES,NORDHAUS,Ch. 26,,,,0,0,0,0,0,0
3902,OBSTACLES_PERSPECTIVES,KRUGMAN_GAMBLING,,,,,0,0,0,0,0,0
4000,SEMESTER_REVIEW,,,,,,0,0,0,1,0,0
4100,NUCLEAR_ENERGY,,,,,"Nuclear power has the potential to provide abundant clean energy with no greenhouse gas emissions. However, there are two separate problems that nuclear power must contend with: First, it is very expensive. Several years ago, the CEO of Excelon, the largest operator of nuclear power plants in the U.S., said that nuclear power was more expensive than any other source of energy except solar photovoltaic. Second, nuclear power is politically controversial because of public fears about safety, especially after the 2011 nuclear accident in Fukushima, Japan.

In these readings, ""Nuclear power as we know it is finished"" and ""A roadmap for U.S. nuclear energy innovation"" discuss the economics and the prospects for whether nuclear power can become economically competitive. ""Clean energy mind games"" is written by an expert on risk and discusses the safety issues and public fears.",0,0,0,1,0,0
4101,NUCLEAR_ENERGY,LESTER_ROADMAP,,,,,0,0,0,0,0,0
4102,NUCLEAR_ENERGY,ROPEIK_MIND_GAMES,,,,,0,0,0,0,0,0
4103,NUCLEAR_ENERGY,TOMLINSON_FINISHED,,,,,0,0,0,0,0,0
4201,LIMITS_OF_ECON,BARKER_ECON,,,,"The article by Barker, ""The Economics of Avoiding Dangerous Climate Change,"" is long. Read the following portions:

* Section 1 (Introduction)
* Section 2 (Traditional and New Economics): pp. 176--178 (through the paragraph in the middle of the page that ends ""... but any implications for policy are heavily qualified and extensive lists are given of the dangers that are not or cannot be monetised,' and the single paragraph that starts at the bottom of p. 179 (""Contrast also the pre-Stern traditional conclusion ... assumptions about human welfare and behaviour needed to make the mathematics tractable."")
* Section 3 (Uncertainty): pp. 181--183, through the first complete paragraph on p. 183 (""There are serious problems ... fundamental differences between them."")
* Section 4 (Economic Ethics): Skip the first few pages, which summarize arguments about discounting that we already covered in previous classes. Read pp. 185--187, starting at the bottom of p. 185 with ""Justice as a theory of ethics"" and reading through the end of the section.
* Section 5 (Engineering and History). Skip this section.
* Section 6  (Social Choice): read pp. 189--190. Read through the first complete paragraph on p. 190 (""In theory ... adaptation investments."")
* Section 7 (Toward a New Economics): Read this whole section.

",0,0,0,0,0,0
4202,LIMITS_OF_ECON,ADAMS_FALLACY,,,,,0,0,0,0,0,0
4300,CARBON_TRADING_GAME,,,,,It is very important that you are in class today unless there is an important and valid excuse for your absence. We will do a role-playing exercise to understand how market-based regulation of greenhouse gas emissions work.,0,0,0,1,0,1
4400,CARBON_TRADING_REVIEW,,,,,We will review the carbon-trading game and discuss the implications for efficiently managing greenhouse gas emissions.,0,0,0,1,0,0
4201,SEMESTER_REVIEW,,,,,No reading for today. We will review the semester and discuss climate change and climate policy in the big picture.,,,,1,,
